Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.58060084;0.15851869;0.3981441;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;2.28961366;0.30059816;0.5482683;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.16455898;NA;NA;-0.3647425
Kostrzewa-Nowak & Nowak (2018)b;1.61914877;0.18828296;0.4339158;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.15133623;NA;NA;6.0303673
Kostrzewa-Nowak & Nowak (2020a)a;2.78145939;0.18652156;0.4318814;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.721764;0.12213871;1.352246;2.40193446;0.7603218
Kostrzewa-Nowak & Nowak (2020a)b;0.78560034;0.04872772;0.2207436;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.746909;0.90189180;1.957225;0.38079507;0.9798508
Kostrzewa-Nowak & Nowak (2020b)a;1.21218685;0.12266918;0.3502416;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.752885;-0.25453985;2.049231;0.15107967;0.6114849
Kostrzewa-Nowak & Nowak (2020b)b;1.11436211;0.11413440;0.3378378;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.696244;-0.38850192;1.535553;-0.88446443;0.6646615
Kostrzewa-Nowak & Nowak (2020b)c;1.24541357;0.12573135;0.3545862;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.873589;0.08492953;1.850755;-0.03348522;0.5384453
Kostrzewa-Nowak & Nowak (2020b)d;1.06921392;0.11043748;0.3323214;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.463484;-0.35230112;1.439456;0.09386410;1.3045136
Kostrzewa-Nowak & Nowak (2020b)e;3.28297931;0.47174004;0.6868333;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;2.125884;-0.30070833;2.800341;0.39582611;1.3403497
Kostrzewa-Nowak et al. (2019);-1.19313847;0.41532813;0.6444596;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.64912658;NA;NA;6.1531124
Steensberg et al. (2001);-1.13226464;0.19424380;0.4407310;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.27638790;0.06337652;0.2517469;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.37718819;0.14181928;0.3765890;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.09174521;0.13034610;0.3610348;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5760547
Lancaster et al. (2005)c;0.13059813;0.13108656;0.3620588;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4143248
Harbaum et al. (2016)a;0.94915254;0.10135019;0.3183554;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.14047618;-0.9659679
Harbaum et al. (2016)b;1.62949996;0.25962641;0.5095355;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15456067;NA;1.49249361;0.3588419
